iteration,Always Stag,Always Hare,Cautious
1,653,1276,571
2,684,1279,537
3,764,1231,505
4,864,1191,445
5,972,1116,412
6,1047,1078,375
7,1156,993,351
8,1220,968,312
9,1302,903,295
10,1394,823,283
11,1484,744,272
12,1558,688,254
13,1607,655,238
14,1674,593,233
15,1726,567,207
16,1789,526,185
17,1846,496,158
18,1903,453,144
19,1934,428,138
20,1977,386,137
21,2008,357,135
22,2056,320,124
23,2086,300,114
24,2105,295,100
25,2139,269,92
26,2175,242,83
27,2194,228,78
28,2221,207,72
29,2242,188,70
30,2262,174,64
31,2279,159,62
32,2298,145,57
33,2319,129,52
34,2332,119,49
35,2341,114,45
36,2350,111,39
37,2359,106,35
38,2366,101,33
39,2371,96,33
40,2384,91,25
41,2388,88,24
42,2395,84,21
43,2404,77,19
44,2411,72,17
45,2415,69,16
46,2424,60,16
47,2429,55,16
48,2435,52,13
49,2441,49,10
50,2448,48,4
51,2450,47,3
52,2451,47,2
53,2452,46,2
54,2461,37,2
55,2461,37,2
56,2463,35,2
57,2464,34,2
58,2466,32,2
59,2471,27,2
60,2472,26,2
61,2474,24,2
62,2479,19,2
63,2480,19,1
64,2481,19,0
65,2483,17,0
66,2484,16,0
67,2488,12,0
68,2490,10,0
69,2490,10,0
70,2490,10,0
71,2491,9,0
72,2490,10,0
73,2491,9,0
74,2491,9,0
75,2490,10,0
76,2491,9,0
77,2490,10,0
78,2491,9,0
79,2493,7,0
80,2494,6,0
81,2495,5,0
82,2497,3,0
83,2498,2,0
84,2498,2,0
85,2498,2,0
86,2498,2,0
87,2498,2,0
88,2498,2,0
89,2498,2,0
90,2498,2,0
91,2498,2,0
92,2498,2,0
93,2498,2,0
94,2498,2,0
95,2498,2,0
96,2498,2,0
97,2498,2,0
