iteration,Always Hawk,Always Dove,Random
1,1674,307,519
2,1808,125,567
3,1836,54,610
4,1806,41,653
5,1767,41,692
6,1682,38,780
7,1608,28,864
8,1546,22,932
9,1458,15,1027
10,1366,14,1120
11,1303,9,1188
12,1252,9,1239
13,1167,9,1324
14,1092,8,1400
15,1042,7,1451
16,991,7,1502
17,929,7,1564
18,861,7,1632
19,821,7,1672
20,789,7,1704
21,757,8,1735
22,714,7,1779
23,674,9,1817
24,636,9,1855
25,591,9,1900
26,544,9,1947
27,528,9,1963
28,500,9,1991
29,459,9,2032
30,446,9,2045
31,423,8,2069
32,421,9,2070
33,408,9,2083
34,390,9,2101
35,380,9,2111
36,358,9,2133
37,343,9,2148
38,325,9,2166
39,305,9,2186
40,303,9,2188
41,290,7,2203
42,282,7,2211
43,269,7,2224
44,260,7,2233
45,255,7,2238
46,249,5,2246
47,238,8,2254
48,228,9,2263
49,208,7,2285
50,205,8,2287
51,211,6,2283
52,199,6,2295
53,199,6,2295
54,191,7,2302
55,187,7,2306
56,192,6,2302
57,181,6,2313
58,181,6,2313
59,168,6,2326
60,161,6,2333
61,154,6,2340
62,163,6,2331
63,160,6,2334
64,158,7,2335
65,156,7,2337
66,154,6,2340
67,152,6,2342
68,148,7,2345
69,147,7,2346
70,143,6,2351
71,140,9,2351
72,133,8,2359
73,133,10,2357
74,125,11,2364
75,123,14,2363
76,118,12,2370
77,115,13,2372
78,118,15,2367
79,118,13,2369
80,117,11,2372
81,108,13,2379
82,111,12,2377
83,110,9,2381
84,110,7,2383
85,113,7,2380
86,113,8,2379
87,114,6,2380
88,111,7,2382
89,108,9,2383
90,105,9,2386
91,103,9,2388
92,104,9,2387
93,98,9,2393
94,96,9,2395
95,95,9,2396
96,94,9,2397
97,93,9,2398
98,93,9,2398
99,94,9,2397
100,95,9,2396
101,94,9,2397
102,96,9,2395
103,95,9,2396
104,95,9,2396
105,99,9,2392
106,99,9,2392
107,98,9,2393
108,105,8,2387
109,104,5,2391
110,101,4,2395
111,102,4,2394
112,102,4,2394
113,99,4,2397
114,98,4,2398
115,95,4,2401
116,93,4,2403
117,92,4,2404
118,91,4,2405
119,92,4,2404
120,93,3,2404
121,87,4,2409
122,81,4,2415
123,88,3,2409
124,91,2,2407
125,92,2,2406
126,92,2,2406
127,93,2,2405
128,90,4,2406
129,87,4,2409
130,86,4,2410
131,90,4,2406
132,87,4,2409
133,87,6,2407
134,87,6,2407
135,90,3,2407
136,93,3,2404
137,92,2,2406
138,90,3,2407
139,91,4,2405
140,91,3,2406
141,91,2,2407
142,91,2,2407
143,89,2,2409
144,86,2,2412
145,84,2,2414
146,86,3,2411
147,83,3,2414
148,82,3,2415
149,82,3,2415
150,83,3,2414
151,83,3,2414
152,82,3,2415
153,84,3,2413
154,83,2,2415
155,84,3,2413
156,82,3,2415
157,82,3,2415
158,79,4,2417
159,78,4,2418
160,82,3,2415
161,78,3,2419
162,78,2,2420
163,80,2,2418
164,80,3,2417
165,79,1,2420
166,86,0,2414
167,84,0,2416
168,85,0,2415
169,81,0,2419
170,82,0,2418
171,83,0,2417
172,83,0,2417
173,84,0,2416
174,79,0,2421
175,76,0,2424
176,76,0,2424
177,72,0,2428
178,76,0,2424
179,75,0,2425
180,73,0,2427
181,70,0,2430
182,70,0,2430
183,72,0,2428
184,74,0,2426
185,77,0,2423
186,77,0,2423
187,75,0,2425
188,75,0,2425
189,76,0,2424
190,76,0,2424
191,77,0,2423
192,82,0,2418
193,83,0,2417
194,84,0,2416
195,85,0,2415
196,84,0,2416
197,86,0,2414
198,84,0,2416
199,83,0,2417
200,84,0,2416
201,84,0,2416
202,84,0,2416
203,80,0,2420
204,79,0,2421
205,77,0,2423
206,76,0,2424
207,75,0,2425
208,71,0,2429
209,73,0,2427
210,72,0,2428
211,74,0,2426
212,74,0,2426
213,74,0,2426
214,76,0,2424
