iteration,Defect,Cooperate,TitForTat
0,1003,754,743
1,1031,771,698
2,1069,750,681
3,1028,743,729
4,1031,746,723
5,1001,769,730
6,991,784,725
7,971,811,718
8,983,811,706
9,986,786,728
10,986,792,722
11,978,780,742
12,981,773,746
13,997,756,747
14,994,743,763
15,995,753,752
16,983,762,755
17,997,756,747
18,1016,780,704
19,1036,779,685
20,1054,761,685
21,1077,741,682
22,1094,718,688
23,1120,710,670
24,1112,760,628
25,1110,780,610
26,1115,786,599
27,1103,818,579
28,1095,828,577
29,1084,836,580
30,1106,820,574
31,1062,834,604
32,1034,857,609
33,1034,864,602
34,1027,891,582
35,1027,885,588
36,1033,891,576
37,1008,917,575
38,1027,896,577
39,1062,899,539
40,1048,904,548
41,1063,935,502
42,1067,906,527
43,1058,912,530
44,1076,905,519
45,1030,931,539
46,1028,944,528
47,1035,924,541
48,1045,906,549
49,1081,885,534
50,1078,867,555
51,1079,853,568
52,1045,873,582
53,1048,848,604
54,1049,852,599
55,1068,838,594
56,1045,843,612
57,1046,837,617
58,1084,826,590
59,1079,851,570
60,1099,860,541
61,1131,849,520
62,1126,867,507
63,1128,882,490
64,1109,924,467
65,1083,942,475
66,1075,923,502
67,1075,941,484
68,1074,932,494
69,1061,950,489
70,1070,937,493
71,1105,914,481
72,1123,880,497
73,1107,894,499
74,1101,907,492
75,1068,922,510
76,1099,863,538
77,1098,872,530
78,1130,841,529
79,1148,839,513
80,1163,803,534
81,1194,759,547
82,1171,784,545
83,1183,788,529
84,1181,750,569
85,1185,770,545
86,1196,802,502
87,1186,815,499
88,1206,791,503
89,1227,791,482
90,1232,774,494
91,1217,778,505
92,1195,780,525
93,1170,801,529
94,1189,769,542
95,1198,752,550
96,1211,758,531
97,1220,732,548
98,1228,691,581
99,1272,650,578
